,year,month,lon_rounded_up,lat_rounded_up,chlor_a,sst,elevation,salinity,oxygen
0,2004,4,-95,-10,0.1378577249550887,28.65416259765625,-3849.282,,
1,2004,4,-95,-5,0.1741642647832802,29.5914404296875,-3892.6504,,
2,2004,4,-95,0,0.2319359368254167,29.960400390625,-3487.2504,,
3,2004,4,-95,5,0.2111125360317455,30.039521484375,-3276.1233,,
4,2004,4,-95,10,0.1490346496040633,30.176144554501487,-3636.0646,,
5,2004,4,-95,15,0.3761516505589908,29.5564794921875,-3807.0691,,
6,2004,4,-95,20,0.6394633717766288,29.041908957741477,198.0883,,
7,2004,4,-95,25,0.2737414614857703,,-565.1883,,
8,2004,4,-95,30,1.877809565246473,,-111.7271,,
9,2004,4,-95,35,32.7903478940328,,290.0309,,
10,2004,4,-90,-10,0.1391704667402488,28.61400146484375,-3874.1498,,
11,2004,4,-90,-5,0.1970322441633009,29.54956298828125,-4016.4216,,
12,2004,4,-90,0,0.3952810615462711,30.00812255859375,-3219.6282,,
13,2004,4,-90,5,0.3135676407934741,30.20612060546875,-2709.9722,,
14,2004,4,-90,10,0.3218065815584147,30.19668212890625,-3609.9359,,
15,2004,4,-90,15,0.57861038027499,29.64343994140625,-3056.2635,,
16,2004,4,-90,20,1.2884970678325134,29.08604248046875,206.7973,,
17,2004,4,-90,25,0.2429197678501188,28.385167439778645,-2511.3751,,
18,2004,4,-90,30,1.1564205939907295,,-1278.9667,32.474845217391305,197.5773839130435
19,2004,4,-90,35,12.399483310093675,,79.6209,,
20,2004,4,-85,-10,0.1777998659622124,28.61592041015625,-4280.8737,,
21,2004,4,-85,-5,0.2929822725772398,29.4097607421875,-4136.7595,,
22,2004,4,-85,0,0.2610509983611152,29.956044921875,-2848.8428,,
23,2004,4,-85,5,0.2639293885688348,30.06268310546875,-2424.0355,,
24,2004,4,-85,10,0.4653227506715832,30.1122802734375,-2900.2379,,
25,2004,4,-85,15,5.620131687613749,29.72740234375,-724.1526,,
26,2004,4,-85,20,1.8060514370738816,29.018227317116477,-1213.7839,,
27,2004,4,-85,25,0.2269211706042197,28.50566864013672,-1213.1536,,
28,2004,4,-85,30,0.5548560668833161,,-1936.6217,32.28041666666667,203.79101666666668
29,2004,4,-85,35,4.8601777966722,,118.7384,,
30,2004,4,-80,-10,0.3399863761919419,28.60088134765625,-4694.9017,,
31,2004,4,-80,-5,1.3376767496918267,29.30440185546875,-3630.6202,34.95666666666667,159.33333333333334
32,2004,4,-80,0,0.6796276812655613,29.92572265625,-2036.192,34.99857142857143,216.14285714285717
33,2004,4,-80,5,0.3326398931346566,30.065943100873163,-2894.0972,,
