lat,lon,date,sst
34.5,-99.5,2016-04-01,29.008001
34.5,-99.5,2016-05-01,29.073002
34.5,-99.5,2016-06-01,29.140001
34.5,-99.5,2016-07-01,29.443
34.5,-99.5,2016-08-01,
34.5,-99.5,2016-09-01,29.068
34.5,-99.5,2016-10-01,
34.5,-99.5,2016-11-01,
34.5,-99.5,2016-12-01,27.875002
34.5,-99.5,2017-01-01,27.485
34.5,-99.5,2017-02-01,27.703001
34.5,-99.5,2017-03-01,29.225002
34.5,-99.5,2017-04-01,29.005001
34.5,-99.5,2017-05-01,29.005001
34.5,-99.5,2017-06-01,29.108002
34.5,-99.5,2017-07-01,29.308
34.5,-99.5,2017-08-01,29.575
34.5,-99.5,2017-09-01,29.830002
34.5,-99.5,2017-10-01,29.880001
34.5,-99.5,2017-11-01,29.885002
34.5,-99.5,2017-12-01,28.210001
34.5,-99.5,2018-01-01,28.490002
34.5,-99.5,2018-02-01,28.603
34.5,-99.5,2018-03-01,28.54
34.5,-99.5,2018-04-01,28.645
34.5,-99.5,2018-05-01,
34.5,-99.5,2018-06-01,28.140001
34.5,-99.5,2018-07-01,27.713001
34.5,-99.5,2018-08-01,27.213001
34.5,-99.5,2018-09-01,26.673
34.5,-99.5,2018-10-01,25.435001
34.5,-99.5,2018-11-01,25.795002
34.5,-99.5,2018-12-01,
34.5,-99.5,2019-01-01,
34.5,-99.5,2019-02-01,
34.5,-99.5,2019-03-01,28.743002
34.5,-99.5,2019-04-01,29.390001
34.5,-99.5,2019-05-01,29.800001
34.5,-99.5,2019-06-01,29.900002
34.5,-99.5,2019-07-01,29.795002
34.5,-99.5,2019-08-01,26.038002
34.5,-99.5,2019-09-01,26.625002
34.5,-99.5,2019-10-01,27.310001
34.5,-99.5,2019-11-01,27.488
34.5,-99.5,2019-12-01,27.083002
34.5,-99.5,2020-01-01,26.583002
34.5,-99.5,2020-02-01,25.875002
34.5,-99.5,2020-03-01,25.735
34.5,-99.5,2020-04-01,26.095001
34.5,-99.5,2020-05-01,26.868002
34.5,-99.5,2020-06-01,26.595001
34.5,-99.5,2020-07-01,25.858002
34.5,-99.5,2020-08-01,25.645
34.5,-99.5,2020-09-01,25.183
34.5,-99.5,2020-10-01,26.015001
34.5,-99.5,2020-11-01,27.208002
34.5,-99.5,2020-12-01,27.990002
34.5,-99.5,2021-01-01,28.433
34.5,-99.5,2021-02-01,28.935001
34.5,-99.5,2021-03-01,29.125002
34.5,-99.5,2021-04-01,
34.5,-99.5,2021-05-01,
34.5,-99.5,2021-06-01,
34.5,-99.5,2021-07-01,
34.5,-99.5,2021-08-01,
34.5,-99.5,2021-09-01,
34.5,-99.5,2021-10-01,
34.5,-99.5,2021-11-01,
34.5,-99.5,2021-12-01,24.403002
34.5,-99.5,2022-01-01,24.233002
34.5,-99.5,2022-02-01,24.655
34.5,-99.5,2022-03-01,
34.5,-99.5,2022-04-01,26.393002
34.5,-99.5,2022-05-01,26.863
34.5,-99.5,2022-06-01,27.065
34.5,-99.5,2022-07-01,25.760002
34.5,-99.5,2022-08-01,25.12
34.5,-99.5,2022-09-01,24.418001
34.5,-99.5,2022-10-01,24.050001
34.5,-99.5,2022-11-01,24.378
34.5,-99.5,2022-12-01,
34.5,-99.5,2023-01-01,
34.5,-99.5,2023-02-01,
34.5,-99.5,2023-03-01,
34.5,-99.5,2023-04-01,
34.5,-99.5,2023-05-01,
34.5,-99.5,2023-06-01,
34.5,-99.5,2023-07-01,
34.5,-99.5,2023-08-01,
34.5,-99.5,2023-09-01,27.113
34.5,-99.5,2023-10-01,27.928001
34.5,-99.5,2023-11-01,28.170002
