Unnamed: 0,lat,long,month,year,t,s,oxygen,sst
0.0,-15.0,-100.0,1,2011,15.99048717948718,35.11694230769231,95.01816666666666,
1.0,-15.0,-100.0,1,2012,15.349450549450548,35.05706593406593,98.77829166666668,
2.0,-15.0,-100.0,1,2023,16.64095406360424,35.22772614840989,146.1520756302521,
3.0,-15.0,-100.0,2,2010,15.240066225165563,35.03576821192053,65.23360509554139,
4.0,-15.0,-100.0,2,2011,16.21923076923077,35.126759615384614,92.09257407407408,
5.0,-15.0,-100.0,2,2012,15.722008032128516,35.08648192771084,82.75819354838708,
6.0,-15.0,-100.0,2,2023,16.48294014084507,35.15020774647887,135.27098333333333,
7.0,-15.0,-100.0,3,2010,15.6418954248366,35.0478431372549,67.76985256410256,
8.0,-15.0,-100.0,3,2011,16.350240384615383,35.11487980769231,90.0659295774648,
9.0,-15.0,-100.0,3,2012,16.137912621359224,35.112893203883495,74.91992056074766,
10.0,-15.0,-100.0,3,2023,16.985106007067138,35.22992402826855,134.40018487394957,
11.0,-15.0,-100.0,4,2010,16.997179487179487,35.10055769230769,92.82726708074534,
12.0,-15.0,-100.0,4,2011,16.401474358974358,35.11507051282052,87.62073456790122,
13.0,-15.0,-100.0,4,2023,16.55252204585538,35.17672310405644,130.44639166666667,
14.0,-15.0,-100.0,5,2010,17.031987179487178,35.157096153846155,97.29116875,
15.0,-15.0,-100.0,5,2011,16.324679487179488,35.110166666666665,83.33527950310558,
16.0,-15.0,-100.0,5,2023,16.656272084805654,35.141650176678446,128.83693333333335,
17.0,-15.0,-100.0,6,2009,16.0225,34.96441346153846,64.16903703703704,
18.0,-15.0,-100.0,6,2011,16.64908496732026,35.027803921568626,86.84485350318471,
19.0,-15.0,-100.0,6,2023,16.37150176678445,35.122496466431095,122.6143613445378,
20.0,-15.0,-100.0,7,2010,15.19377049180328,35.07096721311476,69.0955,
21.0,-15.0,-100.0,7,2011,16.284009216589862,35.014599078341014,100.55295609756098,
22.0,-15.0,-100.0,7,2012,16.846346153846156,35.08105769230769,87.9730745341615,
23.0,-15.0,-100.0,7,2023,16.602010582010582,35.19812169312169,125.831925,
24.0,-15.0,-100.0,8,2010,15.965806451612902,35.13664516129032,84.64207142857143,
25.0,-15.0,-100.0,8,2011,15.761290322580646,35.00593951612903,98.06999086757992,
26.0,-15.0,-100.0,8,2012,17.476580645161288,35.19656774193548,98.26044025157232,
27.0,-15.0,-100.0,8,2023,16.43730158730159,35.158980599647265,121.6612,
28.0,-15.0,-100.0,9,2010,16.06153846153846,35.11378846153846,82.41461111111111,
29.0,-15.0,-100.0,9,2011,15.76863453815261,35.05538152610442,94.81246696035242,
30.0,-15.0,-100.0,9,2012,17.38153846153846,35.233999999999995,105.88183018867925,
31.0,-15.0,-100.0,9,2023,16.585398230088497,35.18905840707964,131.62925423728814,
32.0,-15.0,-100.0,10,2010,15.482435897435897,35.09179487179487,76.9517037037037,
33.0,-15.0,-100.0,10,2011,15.842,35.06886857142857,111.23490384615386,
34.0,-15.0,-100.0,10,2023,16.846925795053004,35.21755300353357,135.49088235294118,
35.0,-15.0,-100.0,11,2010,15.635128205128204,35.123141025641026,80.64474074074074,
36.0,-15.0,-100.0,11,2011,15.572903225806453,35.083354838709674,121.02232,
37.0,-15.0,-100.0,11,2013,16.656509432717677,35.26951523746702,124.460290237467,
38.0,-15.0,-100.0,12,2010,15.911201923076923,35.14063461538462,92.80745581395348,
39.0,-15.0,-100.0,12,2011,15.423152173913044,35.08207608695652,107.07350649350649,
40.0,-15.0,-100.0,12,2022,17.20031914893617,35.32977659574468,149.376325,
41.0,-15.0,-95.0,1,2010,15.319032258064516,35.05703225806452,69.71796296296296,
42.0,-15.0,-95.0,1,2011,14.70065573770492,34.98440983606557,61.14739215686275,
43.0,-15.0,-95.0,1,2012,15.283577981651376,35.051701834862385,72.56492462311557,
44.0,-15.0,-95.0,1,2013,16.190217391304348,35.14351086956522,163.2412807017544,
45.0,-15.0,-95.0,2,2010,15.872903225806452,35.032,80.59779999999999,
46.0,-15.0,-95.0,2,2011,14.875268817204304,34.997956989247314,68.50275757575757,
47.0,-15.0,-95.0,2,2012,15.523703703703704,35.0571037037037,70.63254761904763,
48.0,-15.0,-95.0,2,2013,16.353478260869565,35.16247282608696,144.43080303030305,
49.0,-15.0,-95.0,3,2011,15.203831168831169,35.02812337662338,92.6161414141414,
50.0,-15.0,-95.0,3,2012,16.095919540229886,35.1293275862069,110.45655172413794,
51.0,-15.0,-95.0,3,2013,16.37723577235772,35.16736585365854,159.04610666666667,
52.0,-15.0,-95.0,4,2010,15.345737704918031,35.0321475409836,66.04498000000001,
53.0,-15.0,-95.0,4,2011,15.489408602150538,34.9918064516129,97.7160650406504,
54.0,-15.0,-95.0,4,2012,16.273532258064517,35.09092338709678,94.73442857142857,
55.0,-15.0,-95.0,4,2013,16.10608695652174,35.13961956521739,153.11058490566035,
56.0,-15.0,-95.0,5,2010,15.748602150537634,35.07462365591398,78.24667948717949,
57.0,-15.0,-95.0,5,2011,15.627956989247313,34.99908602150538,87.63804054054054,
58.0,-15.0,-95.0,5,2012,16.31678700361011,35.12283393501805,94.21034583333334,
59.0,-15.0,-95.0,5,2013,16.602857142857143,35.166824175824175,147.18708196721312,
60.0,-15.0,-95.0,5,2018,15.913898305084746,35.158508474576266,90.60795628415302,
61.0,-15.0,-95.0,5,2023,14.796709677419354,34.96493548387097,63.4814238410596,
62.0,-15.0,-95.0,6,2010,15.71032258064516,35.07362903225807,76.55871153846154,
