,lon_rounded_up,lat_rounded_up,date,chlor_a
0,-95,-10,2022-02-25 00:20:01+00:00,0.12794463593922362
1,-95,-5,2022-02-25 00:20:01+00:00,0.12869297602662333
2,-95,0,2022-02-25 00:20:01+00:00,0.21402032319456338
3,-95,5,2022-02-25 00:20:01+00:00,0.1856275750428773
4,-95,10,2022-02-25 00:20:01+00:00,0.3039931127658257
5,-95,15,2022-02-25 00:20:01+00:00,0.45030333836399933
6,-95,20,2022-02-25 00:20:01+00:00,0.6686954927830215
7,-95,25,2022-02-25 00:20:01+00:00,0.1070176942967901
8,-95,30,2022-02-25 00:20:01+00:00,0.1034579947590828
9,-95,35,2022-02-25 00:20:01+00:00,
10,-90,-10,2022-02-25 00:20:01+00:00,0.15320088422926917
11,-90,-5,2022-02-25 00:20:01+00:00,0.17106447488658919
12,-90,0,2022-02-25 00:20:01+00:00,0.2959158739318842
13,-90,5,2022-02-25 00:20:01+00:00,0.22284406731627968
14,-90,10,2022-02-25 00:20:01+00:00,0.43887545945733775
15,-90,15,2022-02-25 00:20:01+00:00,0.929656048336903
16,-90,20,2022-02-25 00:20:01+00:00,1.0620639629214423
17,-90,25,2022-02-25 00:20:01+00:00,0.15354400635898927
18,-90,30,2022-02-25 00:20:01+00:00,0.1253566852460305
19,-90,35,2022-02-25 00:20:01+00:00,
20,-85,-10,2022-02-25 00:20:01+00:00,0.18109261686615932
21,-85,-5,2022-02-25 00:20:01+00:00,0.21967572422542667
22,-85,0,2022-02-25 00:20:01+00:00,0.2601614209084675
23,-85,5,2022-02-25 00:20:01+00:00,0.17984197830532697
24,-85,10,2022-02-25 00:20:01+00:00,0.27198980532586575
25,-85,15,2022-02-25 00:20:01+00:00,1.0966632269085088
26,-85,20,2022-02-25 00:20:01+00:00,0.0673683462664485
27,-85,25,2022-02-25 00:20:01+00:00,0.0856366821042784
28,-85,30,2022-02-25 00:20:01+00:00,0.17407056247045483
29,-85,35,2022-02-25 00:20:01+00:00,0.248237697062669
30,-80,-10,2022-02-25 00:20:01+00:00,0.24301863941600768
31,-80,-5,2022-02-25 00:20:01+00:00,
32,-80,0,2022-02-25 00:20:01+00:00,
33,-80,5,2022-02-25 00:20:01+00:00,0.3152597532385871
34,-80,10,2022-02-25 00:20:01+00:00,0.3712020803072398
35,-80,15,2022-02-25 00:20:01+00:00,0.09101526952632095
36,-80,20,2022-02-25 00:20:01+00:00,0.09383652642979542
37,-80,25,2022-02-25 00:20:01+00:00,0.40579223837329065
38,-80,30,2022-02-25 00:20:01+00:00,1.1162526400336246
39,-80,35,2022-02-25 00:20:01+00:00,1.5820254598782486
40,-75,-10,2022-02-25 00:20:01+00:00,
41,-75,-5,2022-02-25 00:20:01+00:00,
42,-75,0,2022-02-25 00:20:01+00:00,
43,-75,5,2022-02-25 00:20:01+00:00,
44,-75,10,2022-02-25 00:20:01+00:00,1.138037034760256
45,-75,15,2022-02-25 00:20:01+00:00,0.08784709667952934
46,-75,20,2022-02-25 00:20:01+00:00,0.09626882336088244
47,-75,25,2022-02-25 00:20:01+00:00,0.3064926060847938
