,lon_rounded_up,lat_rounded_up,date,chlor_a
0,-95,-10,2018-12-06 00:25:01+00:00,0.12978330082618272
1,-95,-5,2018-12-06 00:25:01+00:00,0.10752055487956946
2,-95,0,2018-12-06 00:25:01+00:00,0.15673904752878356
3,-95,5,2018-12-06 00:25:01+00:00,0.12972463522421307
4,-95,10,2018-12-06 00:25:01+00:00,0.18587364607907478
5,-95,15,2018-12-06 00:25:01+00:00,0.28664301185299723
6,-95,20,2018-12-06 00:25:01+00:00,0.3545135076395994
7,-95,25,2018-12-06 00:25:01+00:00,1.1100870894818653
8,-95,30,2018-12-06 00:25:01+00:00,0.5896438426517565
9,-95,35,2018-12-06 00:25:01+00:00,
10,-90,-10,2018-12-06 00:25:01+00:00,0.16645412114775104
11,-90,-5,2018-12-06 00:25:01+00:00,0.11002487926679069
12,-90,0,2018-12-06 00:25:01+00:00,0.17948494161800904
13,-90,5,2018-12-06 00:25:01+00:00,0.15716637050648488
14,-90,10,2018-12-06 00:25:01+00:00,0.24352756034298595
15,-90,15,2018-12-06 00:25:01+00:00,0.2784288226318876
16,-90,20,2018-12-06 00:25:01+00:00,1.3253331610213366
17,-90,25,2018-12-06 00:25:01+00:00,0.1499914138213448
18,-90,30,2018-12-06 00:25:01+00:00,0.19022602289915086
19,-90,35,2018-12-06 00:25:01+00:00,
20,-85,-10,2018-12-06 00:25:01+00:00,0.18211522976680472
21,-85,-5,2018-12-06 00:25:01+00:00,0.14037142640531616
22,-85,0,2018-12-06 00:25:01+00:00,0.16931265460856565
23,-85,5,2018-12-06 00:25:01+00:00,0.14674648270010948
24,-85,10,2018-12-06 00:25:01+00:00,
25,-85,15,2018-12-06 00:25:01+00:00,
26,-85,20,2018-12-06 00:25:01+00:00,0.09705552921212952
27,-85,25,2018-12-06 00:25:01+00:00,0.12437552993766743
28,-85,30,2018-12-06 00:25:01+00:00,1.6118922035254184
29,-85,35,2018-12-06 00:25:01+00:00,3.3907909949912742
30,-80,-10,2018-12-06 00:25:01+00:00,
31,-80,-5,2018-12-06 00:25:01+00:00,1.6130582744977913
32,-80,0,2018-12-06 00:25:01+00:00,
33,-80,5,2018-12-06 00:25:01+00:00,0.1349234401446874
34,-80,10,2018-12-06 00:25:01+00:00,0.2873247116679843
35,-80,15,2018-12-06 00:25:01+00:00,0.13960577199540067
36,-80,20,2018-12-06 00:25:01+00:00,0.15441880806857408
37,-80,25,2018-12-06 00:25:01+00:00,0.9146695532932231
38,-80,30,2018-12-06 00:25:01+00:00,2.088767392356927
39,-80,35,2018-12-06 00:25:01+00:00,5.27143319159581
40,-75,-10,2018-12-06 00:25:01+00:00,1.0699232739114888
41,-75,-5,2018-12-06 00:25:01+00:00,2.6549249572783524
42,-75,0,2018-12-06 00:25:01+00:00,
43,-75,5,2018-12-06 00:25:01+00:00,0.7340693428284593
44,-75,10,2018-12-06 00:25:01+00:00,0.46454780948374025
45,-75,15,2018-12-06 00:25:01+00:00,0.22711605958644718
46,-75,20,2018-12-06 00:25:01+00:00,0.11414164550678221
47,-75,25,2018-12-06 00:25:01+00:00,0.44648286726857933
48,-75,30,2018-12-06 00:25:01+00:00,0.43579714166890005
49,-75,35,2018-12-06 00:25:01+00:00,1.1375857675477072
50,-70,-10,2018-12-06 00:25:01+00:00,
51,-70,-5,2018-12-06 00:25:01+00:00,
52,-70,0,2018-12-06 00:25:01+00:00,
53,-70,5,2018-12-06 00:25:01+00:00,
54,-70,10,2018-12-06 00:25:01+00:00,31.66031481727721
55,-70,15,2018-12-06 00:25:01+00:00,2.015315237423877
56,-70,20,2018-12-06 00:25:01+00:00,0.13400148031129214
57,-70,25,2018-12-06 00:25:01+00:00,0.08882486709168197
58,-70,30,2018-12-06 00:25:01+00:00,0.04978274164364191
59,-70,35,2018-12-06 00:25:01+00:00,0.12869859295897185
60,-65,-10,2018-12-06 00:25:01+00:00,
61,-65,-5,2018-12-06 00:25:01+00:00,
62,-65,0,2018-12-06 00:25:01+00:00,
63,-65,5,2018-12-06 00:25:01+00:00,
64,-65,10,2018-12-06 00:25:01+00:00,
65,-65,15,2018-12-06 00:25:01+00:00,0.2706045482620436
66,-65,20,2018-12-06 00:25:01+00:00,0.13626186493936174
67,-65,25,2018-12-06 00:25:01+00:00,0.047998815368170133
68,-65,30,2018-12-06 00:25:01+00:00,0.05941465005806062
69,-65,35,2018-12-06 00:25:01+00:00,0.0942107358804116
70,-60,-10,2018-12-06 00:25:01+00:00,
71,-60,-5,2018-12-06 00:25:01+00:00,
72,-60,0,2018-12-06 00:25:01+00:00,
73,-60,5,2018-12-06 00:25:01+00:00,
74,-60,10,2018-12-06 00:25:01+00:00,
75,-60,15,2018-12-06 00:25:01+00:00,0.06395969140502783
76,-60,20,2018-12-06 00:25:01+00:00,0.05509531552264794
77,-60,25,2018-12-06 00:25:01+00:00,0.04144551178835558
78,-60,30,2018-12-06 00:25:01+00:00,0.04468529825313733
79,-60,35,2018-12-06 00:25:01+00:00,0.14218093905447407
80,-55,-10,2018-12-06 00:25:01+00:00,
81,-55,-5,2018-12-06 00:25:01+00:00,
82,-55,0,2018-12-06 00:25:01+00:00,
83,-55,5,2018-12-06 00:25:01+00:00,
84,-55,10,2018-12-06 00:25:01+00:00,0.4485837184306648
85,-55,15,2018-12-06 00:25:01+00:00,0.15064698076273342
86,-55,20,2018-12-06 00:25:01+00:00,0.08277782476405043
87,-55,25,2018-12-06 00:25:01+00:00,0.04405957820414696
88,-55,30,2018-12-06 00:25:01+00:00,0.047982293367710364
89,-55,35,2018-12-06 00:25:01+00:00,0.1616719975839953
90,-50,-10,2018-12-06 00:25:01+00:00,
91,-50,-5,2018-12-06 00:25:01+00:00,
92,-50,0,2018-12-06 00:25:01+00:00,
93,-50,5,2018-12-06 00:25:01+00:00,
94,-50,10,2018-12-06 00:25:01+00:00,0.29076283680157616
95,-50,15,2018-12-06 00:25:01+00:00,0.11963387059044867
96,-50,20,2018-12-06 00:25:01+00:00,0.05625384213694973
97,-50,25,2018-12-06 00:25:01+00:00,0.04136548126173532
98,-50,30,2018-12-06 00:25:01+00:00,0.05022325381258405
99,-50,35,2018-12-06 00:25:01+00:00,0.10199790205317892
100,-45,-10,2018-12-06 00:25:01+00:00,
101,-45,-5,2018-12-06 00:25:01+00:00,
102,-45,0,2018-12-06 00:25:01+00:00,3.756917635599772
103,-45,5,2018-12-06 00:25:01+00:00,3.611351099438392
104,-45,10,2018-12-06 00:25:01+00:00,0.2333460952944428
105,-45,15,2018-12-06 00:25:01+00:00,0.12794049916835207
106,-45,20,2018-12-06 00:25:01+00:00,0.05010466823909975
107,-45,25,2018-12-06 00:25:01+00:00,0.04290391303824656
108,-45,30,2018-12-06 00:25:01+00:00,0.053343394916119974
109,-45,35,2018-12-06 00:25:01+00:00,0.12824357531907904
110,-40,-10,2018-12-06 00:25:01+00:00,
111,-40,-5,2018-12-06 00:25:01+00:00,
112,-40,0,2018-12-06 00:25:01+00:00,0.09730147123336792
113,-40,5,2018-12-06 00:25:01+00:00,0.11519483221304971
114,-40,10,2018-12-06 00:25:01+00:00,
115,-40,15,2018-12-06 00:25:01+00:00,0.11583048618989053
116,-40,20,2018-12-06 00:25:01+00:00,0.05346355351813251
117,-40,25,2018-12-06 00:25:01+00:00,0.03722092197194957
118,-40,30,2018-12-06 00:25:01+00:00,0.06083131063745445
119,-40,35,2018-12-06 00:25:01+00:00,0.15769740310747937
120,-35,-10,2018-12-06 00:25:01+00:00,0.14989678853263075
121,-35,-5,2018-12-06 00:25:01+00:00,
122,-35,0,2018-12-06 00:25:01+00:00,
123,-35,5,2018-12-06 00:25:01+00:00,0.10811279714107513
124,-35,10,2018-12-06 00:25:01+00:00,
125,-35,15,2018-12-06 00:25:01+00:00,0.12458894125396205
126,-35,20,2018-12-06 00:25:01+00:00,0.0829522481971029
127,-35,25,2018-12-06 00:25:01+00:00,0.06475340942693109
128,-35,30,2018-12-06 00:25:01+00:00,0.06409081430559543
129,-35,35,2018-12-06 00:25:01+00:00,0.15464932015015337
130,-30,-10,2018-12-06 00:25:01+00:00,0.023460040150357665
131,-30,-5,2018-12-06 00:25:01+00:00,0.045055849620647084
132,-30,0,2018-12-06 00:25:01+00:00,0.08484656067082176
133,-30,5,2018-12-06 00:25:01+00:00,0.09578767294685046
134,-30,10,2018-12-06 00:25:01+00:00,0.20227915048599243
135,-30,15,2018-12-06 00:25:01+00:00,0.14515819454042755
136,-30,20,2018-12-06 00:25:01+00:00,0.11450153642413792
137,-30,25,2018-12-06 00:25:01+00:00,0.11879640366686017
138,-30,30,2018-12-06 00:25:01+00:00,0.09098807895306088
139,-30,35,2018-12-06 00:25:01+00:00,0.13217781527788292
140,-25,-10,2018-12-06 00:25:01+00:00,0.01962544388523457
141,-25,-5,2018-12-06 00:25:01+00:00,0.0478908134718597
142,-25,0,2018-12-06 00:25:01+00:00,0.09363081925031212
143,-25,5,2018-12-06 00:25:01+00:00,0.11386073137132022
144,-25,10,2018-12-06 00:25:01+00:00,0.20178446792345311
145,-25,15,2018-12-06 00:25:01+00:00,0.2050946894069817
146,-25,20,2018-12-06 00:25:01+00:00,0.16804728859921075
147,-25,25,2018-12-06 00:25:01+00:00,0.11820069575525784
148,-25,30,2018-12-06 00:25:01+00:00,0.09712230553464979
149,-25,35,2018-12-06 00:25:01+00:00,0.12706009932955556
150,-20,-10,2018-12-06 00:25:01+00:00,0.03228536838182391
151,-20,-5,2018-12-06 00:25:01+00:00,0.07902224746596855
152,-20,0,2018-12-06 00:25:01+00:00,0.151409269160964
153,-20,5,2018-12-06 00:25:01+00:00,0.12064081048354125
154,-20,10,2018-12-06 00:25:01+00:00,0.18448873262453433
155,-20,15,2018-12-06 00:25:01+00:00,0.26450634777283355
156,-20,20,2018-12-06 00:25:01+00:00,0.40685644146457545
157,-20,25,2018-12-06 00:25:01+00:00,0.3593881622597559
158,-20,30,2018-12-06 00:25:01+00:00,0.10858734118938446
159,-20,35,2018-12-06 00:25:01+00:00,0.1453789477202357
160,-15,-10,2018-12-06 00:25:01+00:00,0.04203461694734018
161,-15,-5,2018-12-06 00:25:01+00:00,0.1155393780076834
162,-15,0,2018-12-06 00:25:01+00:00,0.2081728781527885
163,-15,5,2018-12-06 00:25:01+00:00,0.12908174246549606
164,-15,10,2018-12-06 00:25:01+00:00,0.1800838232971728
165,-15,15,2018-12-06 00:25:01+00:00,
166,-15,20,2018-12-06 00:25:01+00:00,1.465846915729344
167,-15,25,2018-12-06 00:25:01+00:00,1.8480426822789013
168,-15,30,2018-12-06 00:25:01+00:00,
169,-15,35,2018-12-06 00:25:01+00:00,0.16873711531347627
170,-10,-10,2018-12-06 00:25:01+00:00,0.044330015409486
171,-10,-5,2018-12-06 00:25:01+00:00,0.12783543601379557
172,-10,0,2018-12-06 00:25:01+00:00,0.2346246525645256
173,-10,5,2018-12-06 00:25:01+00:00,
174,-10,10,2018-12-06 00:25:01+00:00,
175,-10,15,2018-12-06 00:25:01+00:00,
176,-10,20,2018-12-06 00:25:01+00:00,
177,-10,25,2018-12-06 00:25:01+00:00,
178,-10,30,2018-12-06 00:25:01+00:00,1.0297954613666707
179,-10,35,2018-12-06 00:25:01+00:00,0.18097996857706283
180,-5,-10,2018-12-06 00:25:01+00:00,0.058515467991431556
181,-5,-5,2018-12-06 00:25:01+00:00,0.1033306645662632
182,-5,0,2018-12-06 00:25:01+00:00,
183,-5,5,2018-12-06 00:25:01+00:00,
184,-5,10,2018-12-06 00:25:01+00:00,
185,-5,15,2018-12-06 00:25:01+00:00,
186,-5,20,2018-12-06 00:25:01+00:00,
187,-5,25,2018-12-06 00:25:01+00:00,
188,-5,30,2018-12-06 00:25:01+00:00,8.663730488373684
189,-5,35,2018-12-06 00:25:01+00:00,0.6346684714028349
190,0,-10,2018-12-06 00:25:01+00:00,0.056761025248662285
191,0,-5,2018-12-06 00:25:01+00:00,0.10808787207080893
192,0,0,2018-12-06 00:25:01+00:00,
193,0,5,2018-12-06 00:25:01+00:00,
194,0,10,2018-12-06 00:25:01+00:00,
195,0,15,2018-12-06 00:25:01+00:00,
196,0,20,2018-12-06 00:25:01+00:00,29.897865295410156
197,0,25,2018-12-06 00:25:01+00:00,
198,0,30,2018-12-06 00:25:01+00:00,
199,0,35,2018-12-06 00:25:01+00:00,
