,year,month,lon_rounded_up,lat_rounded_up,chlor_a
137,2004,4,-30,25,0.05617528615414074
138,2004,4,-30,30,0.04874077571320267
139,2004,4,-30,35,0.12181912369594733
140,2004,4,-25,-10,0.028891015217606803
141,2004,4,-25,-5,0.055001890654804146
142,2004,4,-25,0,0.1152600402975853
143,2004,4,-25,5,0.13330515477922633
144,2004,4,-25,10,0.1454405442763036
145,2004,4,-25,15,0.13081396563485578
146,2004,4,-25,20,0.10550122941307476
147,2004,4,-25,25,0.07538217405722955
148,2004,4,-25,30,0.0627758201970416
149,2004,4,-25,35,0.1352269905826553
150,2004,4,-20,-10,0.028236473275134476
151,2004,4,-20,-5,0.0535247889607526
152,2004,4,-20,0,0.11702208234734651
153,2004,4,-20,5,0.14598255215256586
154,2004,4,-20,10,0.1601105990601335
155,2004,4,-20,15,0.22489212591844368
156,2004,4,-20,20,0.3137628787323151
157,2004,4,-20,25,0.1428354040102145
158,2004,4,-20,30,0.07577033586231834
159,2004,4,-20,35,0.11562368711252849
160,2004,4,-15,-10,0.03364133906141704
161,2004,4,-15,-5,0.06310756854261636
162,2004,4,-15,0,0.13768764735150976
163,2004,4,-15,5,0.1580202186902276
164,2004,4,-15,10,0.16136239178294684
165,2004,4,-15,15,2.710866461833771
166,2004,4,-15,20,4.004023459393263
167,2004,4,-15,25,1.8911169276076276
168,2004,4,-15,30,0.16215870253701573
169,2004,4,-15,35,0.1422673737342161
170,2004,4,-10,-10,0.03822868478493914
171,2004,4,-10,-5,0.06460296939842289
172,2004,4,-10,0,0.14652255181622048
173,2004,4,-10,5,0.1845157116127761
174,2004,4,-10,10,0.26702305494988193
175,2004,4,-10,15,7.257774511973063
176,2004,4,-10,20,
177,2004,4,-10,25,6.14135546757832
178,2004,4,-10,30,0.7967526473312386
179,2004,4,-10,35,0.20203321889869547
180,2004,4,-5,-10,0.049559459632367124
181,2004,4,-5,-5,0.0839050020950008
182,2004,4,-5,0,0.18079905034839414
183,2004,4,-5,5,0.22825434261642724
184,2004,4,-5,10,0.4917300925977141
185,2004,4,-5,15,
186,2004,4,-5,20,
187,2004,4,-5,25,
188,2004,4,-5,30,0.8756641237703445
189,2004,4,-5,35,0.7628706690096783
190,2004,4,0,-10,0.05962612271118083
191,2004,4,0,-5,0.13241367067618917
192,2004,4,0,0,0.20875562111681975
193,2004,4,0,5,0.2046644182172188
194,2004,4,0,10,0.5009211966646956
195,2004,4,0,15,
196,2004,4,0,20,
197,2004,4,0,25,
198,2004,4,0,30,
199,2004,4,0,35,
200,2004,5,-95,-10,0.12364593340155396
201,2004,5,-95,-5,0.15789214114932074
202,2004,5,-95,0,0.18187606662358471
203,2004,5,-95,5,0.1871943914295482
204,2004,5,-95,10,0.14851042573515885
205,2004,5,-95,15,0.22835579001246317
206,2004,5,-95,20,0.41747599530049706
207,2004,5,-95,25,0.20610394559313763
208,2004,5,-95,30,0.9296180757390906
209,2004,5,-95,35,30.368018824965862
210,2004,5,-90,-10,0.12727470850425748
211,2004,5,-90,-5,0.2101470344663314
212,2004,5,-90,0,0.2835647273906622
213,2004,5,-90,5,0.21739443167233635
214,2004,5,-90,10,0.2077642583418082
215,2004,5,-90,15,0.29933112527150063
216,2004,5,-90,20,0.910648897680548
217,2004,5,-90,25,0.2011523897381881
218,2004,5,-90,30,0.760744547300415
219,2004,5,-90,35,15.958335077912665
220,2004,5,-85,-10,0.15074464027543044
221,2004,5,-85,-5,0.2574463053147552
222,2004,5,-85,0,0.23998804931697618
223,2004,5,-85,5,0.23226064841824584
224,2004,5,-85,10,0.39318375655525606
225,2004,5,-85,15,2.3379986016201175
226,2004,5,-85,20,0.7123537055258345
227,2004,5,-85,25,0.19033615495230657
228,2004,5,-85,30,0.6378265815992544
229,2004,5,-85,35,4.404440811962466
230,2004,5,-80,-10,0.35553823998682205
231,2004,5,-80,-5,1.3670226688942158
232,2004,5,-80,0,0.7654764921102069
233,2004,5,-80,5,0.28841408768133076
234,2004,5,-80,10,0.5588082572172627
235,2004,5,-80,15,1.1654211954055196
236,2004,5,-80,20,0.08692086987993874
237,2004,5,-80,25,0.30418285561009967
238,2004,5,-80,30,0.6839667569300012
239,2004,5,-80,35,4.8060504699966815
240,2004,5,-75,-10,4.18720223121052
241,2004,5,-75,-5,3.4492837163246706
242,2004,5,-75,0,5.940125864435585
243,2004,5,-75,5,1.0051005626839693
244,2004,5,-75,10,0.7977806564218534
245,2004,5,-75,15,0.1128009387796805
246,2004,5,-75,20,0.059829292158285995
247,2004,5,-75,25,0.3227178460842252
248,2004,5,-75,30,0.10318174997534484
249,2004,5,-75,35,0.6098748107159867
250,2004,5,-70,-10,4.396701388888889
251,2004,5,-70,-5,
252,2004,5,-70,0,
253,2004,5,-70,5,
254,2004,5,-70,10,15.780766047881468
255,2004,5,-70,15,2.662940446598166
256,2004,5,-70,20,0.12810643383293435
257,2004,5,-70,25,0.040916885350958616
258,2004,5,-70,30,0.03562480181165583
259,2004,5,-70,35,0.052763792383325264
260,2004,5,-65,-10,7.8612417834145685
261,2004,5,-65,-5,
262,2004,5,-65,0,
263,2004,5,-65,5,
