,Latitude,Longitude,Mean_Elevation
156,20.0,-20.0,-1501.9426
157,20.0,-15.0,288.9449
158,20.0,-10.0,317.2783
159,20.0,-5.0,298.5704
160,25.0,-100.0,-111.7271
161,25.0,-95.0,-1278.9667
162,25.0,-90.0,-1936.6217
163,25.0,-85.0,-94.3455
164,25.0,-80.0,-2085.5294
165,25.0,-75.0,-5067.1018
166,25.0,-70.0,-5287.6529
167,25.0,-65.0,-5554.2725
168,25.0,-60.0,-5846.1507
169,25.0,-55.0,-5346.4039
170,25.0,-50.0,-4234.3346
171,25.0,-45.0,-3610.7779
172,25.0,-40.0,-4714.5079
173,25.0,-35.0,-5180.8795
174,25.0,-30.0,-5069.3909
175,25.0,-25.0,-4899.1981
176,25.0,-20.0,-3226.9336
177,25.0,-15.0,-461.4027
178,25.0,-10.0,470.5824
179,25.0,-5.0,368.192
180,30.0,-100.0,290.0309
181,30.0,-95.0,79.6209
182,30.0,-90.0,118.7384
183,30.0,-85.0,110.7764
184,30.0,-80.0,-1155.5074
185,30.0,-75.0,-4924.6036
186,30.0,-70.0,-5097.7048
187,30.0,-65.0,-4704.3264
188,30.0,-60.0,-5292.0348
189,30.0,-55.0,-5349.202
190,30.0,-50.0,-4697.4861
191,30.0,-45.0,-3567.7806
192,30.0,-40.0,-3232.2547
193,30.0,-35.0,-3753.7051
194,30.0,-30.0,-4087.6846
195,30.0,-25.0,-5185.7991
196,30.0,-20.0,-4122.8571
197,30.0,-15.0,-3414.3037
198,30.0,-10.0,160.9682
199,30.0,-5.0,959.3077
