Wall time,Step,Value
1725925809.555902,15,0.05336610972881317
1725925829.8991773,54,0.042888566851615906
1725925855.9846864,104,0.027752507477998734
1725925860.5465958,113,0.027380816638469696
1725925876.013224,143,0.021731587126851082
1725925880.0761728,151,0.019198037683963776
1725925882.6084456,156,0.01782069355249405
1725925902.6278741,193,0.014923619106411934
1725925957.110269,292,0.011563301086425781
1725926008.380884,387,0.009144678711891174
1725926034.035238,434,0.008930091746151447
1725926043.8408818,452,0.007791295647621155
1725926057.1503634,477,0.007835986092686653
1725926144.3784454,638,0.0071700382977724075
1725926158.4748616,664,0.006146878469735384
1725926167.8345017,681,0.006344000343233347
1725926169.3434882,684,0.006399281322956085
1725926179.5930188,702,0.0060484581626951694
1725926185.4398134,713,0.006160428281873465
1725926206.9075742,753,0.005833389703184366
1725926321.2681434,965,0.005070721264928579
1725926381.0686457,1075,0.005122086964547634
1725926454.92122,1214,0.004654270596802235
1725926457.9572275,1220,0.004630181007087231
1725926534.6263041,1368,0.004066460765898228
1725926539.7845404,1378,0.004019681829959154
1725926567.31854,1431,0.003878055140376091
1725926623.9328678,1540,0.003933013882488012
1725926647.4756088,1586,0.0038161666598170996
1725926656.5223048,1603,0.0036254005972296
1725926672.2639184,1634,0.003639061702415347
1725926693.3162487,1675,0.003514560405164957
1725926756.358448,1797,0.0035352990962564945
1725926764.356888,1812,0.003621126525104046
1725926780.3760931,1843,0.003484030021354556
1725926785.9643977,1854,0.00363886053673923
1725926791.590015,1865,0.0033561394084244967
1725926796.6618526,1875,0.0036358709912747145
1725926802.859823,1887,0.0034179326612502337
1725926805.431905,1892,0.0034543215297162533
1725926808.9736035,1899,0.003562855301424861
1725926826.6762967,1933,0.0033430620096623898
1725926827.235724,1934,0.003415253944694996
1725926827.7389162,1935,0.003389707300812006
1725926832.3421304,1944,0.003321126801893115
1725926868.7240572,2015,0.0033732398878782988
1725926879.459456,2036,0.003275370690971613
1725926894.3784719,2065,0.00327775115147233
1725926900.5743084,2077,0.0033092047087848186
1725926910.7269554,2097,0.0031250552274286747
1725926912.2345066,2100,0.003143893089145422
1725926923.7694137,2122,0.0032377198804169893
