,lon_rounded_up,lat_rounded_up,date,chlor_a
0,-95,-10,2015-02-18 00:10:01+00:00,0.11178577821886852
1,-95,-5,2015-02-18 00:10:01+00:00,0.12049331935238541
2,-95,0,2015-02-18 00:10:01+00:00,0.1695785288155634
3,-95,5,2015-02-18 00:10:01+00:00,0.13557999697513878
4,-95,10,2015-02-18 00:10:01+00:00,0.17157280466166316
5,-95,15,2015-02-18 00:10:01+00:00,0.34116755599727283
6,-95,20,2015-02-18 00:10:01+00:00,0.1884569640807699
7,-95,25,2015-02-18 00:10:01+00:00,
8,-95,30,2015-02-18 00:10:01+00:00,
9,-95,35,2015-02-18 00:10:01+00:00,
10,-90,-10,2015-02-18 00:10:01+00:00,0.11720654460006073
11,-90,-5,2015-02-18 00:10:01+00:00,0.14106519017368555
12,-90,0,2015-02-18 00:10:01+00:00,
13,-90,5,2015-02-18 00:10:01+00:00,
14,-90,10,2015-02-18 00:10:01+00:00,
15,-90,15,2015-02-18 00:10:01+00:00,
16,-90,20,2015-02-18 00:10:01+00:00,
17,-90,25,2015-02-18 00:10:01+00:00,0.15581876238187153
18,-90,30,2015-02-18 00:10:01+00:00,1.113570766126389
19,-90,35,2015-02-18 00:10:01+00:00,13.045611143112183
20,-85,-10,2015-02-18 00:10:01+00:00,
21,-85,-5,2015-02-18 00:10:01+00:00,0.2082192872812648
22,-85,0,2015-02-18 00:10:01+00:00,0.28430043333183136
23,-85,5,2015-02-18 00:10:01+00:00,0.14681754143226264
24,-85,10,2015-02-18 00:10:01+00:00,0.17962781246358583
25,-85,15,2015-02-18 00:10:01+00:00,1.3062639788863408
26,-85,20,2015-02-18 00:10:01+00:00,0.42988199889659884
27,-85,25,2015-02-18 00:10:01+00:00,0.16346938320202753
28,-85,30,2015-02-18 00:10:01+00:00,1.034941463097566
29,-85,35,2015-02-18 00:10:01+00:00,5.950979103293039
30,-80,-10,2015-02-18 00:10:01+00:00,
31,-80,-5,2015-02-18 00:10:01+00:00,0.4550821769789889
32,-80,0,2015-02-18 00:10:01+00:00,0.4638127428152337
33,-80,5,2015-02-18 00:10:01+00:00,0.2782297913844769
34,-80,10,2015-02-18 00:10:01+00:00,0.13527639583544113
35,-80,15,2015-02-18 00:10:01+00:00,0.4480740260000208
36,-80,20,2015-02-18 00:10:01+00:00,0.14299735575464198
37,-80,25,2015-02-18 00:10:01+00:00,0.09662058111725812
38,-80,30,2015-02-18 00:10:01+00:00,1.756270122780407
39,-80,35,2015-02-18 00:10:01+00:00,2.463997482945179
40,-75,-10,2015-02-18 00:10:01+00:00,
41,-75,-5,2015-02-18 00:10:01+00:00,
42,-75,0,2015-02-18 00:10:01+00:00,
43,-75,5,2015-02-18 00:10:01+00:00,
44,-75,10,2015-02-18 00:10:01+00:00,1.422325121814102
45,-75,15,2015-02-18 00:10:01+00:00,0.14795103632485748
46,-75,20,2015-02-18 00:10:01+00:00,0.0916598863040308
47,-75,25,2015-02-18 00:10:01+00:00,0.2685117292409109
48,-75,30,2015-02-18 00:10:01+00:00,0.18945822436840107
49,-75,35,2015-02-18 00:10:01+00:00,0.7339177514397788
50,-70,-10,2015-02-18 00:10:01+00:00,
51,-70,-5,2015-02-18 00:10:01+00:00,
52,-70,0,2015-02-18 00:10:01+00:00,
53,-70,5,2015-02-18 00:10:01+00:00,
54,-70,10,2015-02-18 00:10:01+00:00,13.950264563431611
55,-70,15,2015-02-18 00:10:01+00:00,0.6385642294381415
56,-70,20,2015-02-18 00:10:01+00:00,0.08833276201675268
57,-70,25,2015-02-18 00:10:01+00:00,0.07128647102703722
58,-70,30,2015-02-18 00:10:01+00:00,
59,-70,35,2015-02-18 00:10:01+00:00,0.1827923059463501
60,-65,-10,2015-02-18 00:10:01+00:00,
61,-65,-5,2015-02-18 00:10:01+00:00,
62,-65,0,2015-02-18 00:10:01+00:00,
63,-65,5,2015-02-18 00:10:01+00:00,
64,-65,10,2015-02-18 00:10:01+00:00,
65,-65,15,2015-02-18 00:10:01+00:00,0.23030418432675875
66,-65,20,2015-02-18 00:10:01+00:00,0.08968167291540238
67,-65,25,2015-02-18 00:10:01+00:00,0.0440152488369978
68,-65,30,2015-02-18 00:10:01+00:00,0.0674448468424569
69,-65,35,2015-02-18 00:10:01+00:00,0.1296431040763855
70,-60,-10,2015-02-18 00:10:01+00:00,
71,-60,-5,2015-02-18 00:10:01+00:00,
72,-60,0,2015-02-18 00:10:01+00:00,
73,-60,5,2015-02-18 00:10:01+00:00,
74,-60,10,2015-02-18 00:10:01+00:00,2.7851613583889874
75,-60,15,2015-02-18 00:10:01+00:00,0.3335339630998807
76,-60,20,2015-02-18 00:10:01+00:00,0.06527200277448623
77,-60,25,2015-02-18 00:10:01+00:00,0.04295009245391953
78,-60,30,2015-02-18 00:10:01+00:00,0.06622808326210361
79,-60,35,2015-02-18 00:10:01+00:00,0.14602901050344239
80,-55,-10,2015-02-18 00:10:01+00:00,
81,-55,-5,2015-02-18 00:10:01+00:00,
82,-55,0,2015-02-18 00:10:01+00:00,
83,-55,5,2015-02-18 00:10:01+00:00,
84,-55,10,2015-02-18 00:10:01+00:00,
85,-55,15,2015-02-18 00:10:01+00:00,0.12400494249157824
86,-55,20,2015-02-18 00:10:01+00:00,0.03682919267672472
87,-55,25,2015-02-18 00:10:01+00:00,0.03314997633944636
88,-55,30,2015-02-18 00:10:01+00:00,0.05909285943121421
89,-55,35,2015-02-18 00:10:01+00:00,0.1655827507606312
90,-50,-10,2015-02-18 00:10:01+00:00,
91,-50,-5,2015-02-18 00:10:01+00:00,
92,-50,0,2015-02-18 00:10:01+00:00,
93,-50,5,2015-02-18 00:10:01+00:00,4.027849078178406
94,-50,10,2015-02-18 00:10:01+00:00,0.3715893008219457
95,-50,15,2015-02-18 00:10:01+00:00,0.08698446284372661
96,-50,20,2015-02-18 00:10:01+00:00,0.04503288240246158
97,-50,25,2015-02-18 00:10:01+00:00,0.03157911888569936
98,-50,30,2015-02-18 00:10:01+00:00,0.048872000075916876
99,-50,35,2015-02-18 00:10:01+00:00,0.13872805178305353
100,-45,-10,2015-02-18 00:10:01+00:00,
101,-45,-5,2015-02-18 00:10:01+00:00,
102,-45,0,2015-02-18 00:10:01+00:00,
103,-45,5,2015-02-18 00:10:01+00:00,0.12873171931282085
104,-45,10,2015-02-18 00:10:01+00:00,0.1307797242336803
105,-45,15,2015-02-18 00:10:01+00:00,0.06016006949966702
106,-45,20,2015-02-18 00:10:01+00:00,0.03631228724671476
107,-45,25,2015-02-18 00:10:01+00:00,0.029639209813866026
108,-45,30,2015-02-18 00:10:01+00:00,0.05397517760123672
109,-45,35,2015-02-18 00:10:01+00:00,0.14061168148445571
110,-40,-10,2015-02-18 00:10:01+00:00,
111,-40,-5,2015-02-18 00:10:01+00:00,
112,-40,0,2015-02-18 00:10:01+00:00,
113,-40,5,2015-02-18 00:10:01+00:00,0.06928991836806138
114,-40,10,2015-02-18 00:10:01+00:00,
115,-40,15,2015-02-18 00:10:01+00:00,0.08105847268150403
116,-40,20,2015-02-18 00:10:01+00:00,0.04748148812489076
117,-40,25,2015-02-18 00:10:01+00:00,0.04393779474736415
118,-40,30,2015-02-18 00:10:01+00:00,0.07355275932261732
119,-40,35,2015-02-18 00:10:01+00:00,0.11503835626242723
120,-35,-10,2015-02-18 00:10:01+00:00,
121,-35,-5,2015-02-18 00:10:01+00:00,0.19264305808714458
122,-35,0,2015-02-18 00:10:01+00:00,0.11141374908269398
123,-35,5,2015-02-18 00:10:01+00:00,0.05596305429935455
124,-35,10,2015-02-18 00:10:01+00:00,0.1605980782346292
125,-35,15,2015-02-18 00:10:01+00:00,0.11879996806123531
126,-35,20,2015-02-18 00:10:01+00:00,0.06044254593427498
127,-35,25,2015-02-18 00:10:01+00:00,0.05003014242927879
128,-35,30,2015-02-18 00:10:01+00:00,0.07002652713929479
129,-35,35,2015-02-18 00:10:01+00:00,0.1351088980365619
130,-30,-10,2015-02-18 00:10:01+00:00,0.04562238763347943
131,-30,-5,2015-02-18 00:10:01+00:00,0.05840285469523885
132,-30,0,2015-02-18 00:10:01+00:00,0.10367010154466076
133,-30,5,2015-02-18 00:10:01+00:00,
134,-30,10,2015-02-18 00:10:01+00:00,
135,-30,15,2015-02-18 00:10:01+00:00,0.13351916187640392
136,-30,20,2015-02-18 00:10:01+00:00,0.10225073295245576
137,-30,25,2015-02-18 00:10:01+00:00,0.10979433705555379
138,-30,30,2015-02-18 00:10:01+00:00,0.099799565277861
139,-30,35,2015-02-18 00:10:01+00:00,0.12695373141927258
140,-25,-10,2015-02-18 00:10:01+00:00,0.027313438745645378
141,-25,-5,2015-02-18 00:10:01+00:00,0.05336931113161506
142,-25,0,2015-02-18 00:10:01+00:00,0.11619720116434012
143,-25,5,2015-02-18 00:10:01+00:00,0.11943666293858662
144,-25,10,2015-02-18 00:10:01+00:00,0.17391199313104153
145,-25,15,2015-02-18 00:10:01+00:00,0.25037730961408816
146,-25,20,2015-02-18 00:10:01+00:00,0.17720739777562106
147,-25,25,2015-02-18 00:10:01+00:00,0.15729648212750827
