,lon_rounded_up,lat_rounded_up,date,chlor_a
0,-95,-10,2006-08-31 00:25:01+00:00,0.11427914807969268
1,-95,-5,2006-08-31 00:25:01+00:00,0.14011120331464427
2,-95,0,2006-08-31 00:25:01+00:00,0.16930698148859372
3,-95,5,2006-08-31 00:25:01+00:00,0.10424705950113443
4,-95,10,2006-08-31 00:25:01+00:00,0.17508635890704613
5,-95,15,2006-08-31 00:25:01+00:00,0.32385135379107977
6,-95,20,2006-08-31 00:25:01+00:00,0.46341821341579703
7,-95,25,2006-08-31 00:25:01+00:00,0.322144731250326
8,-95,30,2006-08-31 00:25:01+00:00,0.8270854838763936
9,-95,35,2006-08-31 00:25:01+00:00,
10,-90,-10,2006-08-31 00:25:01+00:00,0.13208299981147623
11,-90,-5,2006-08-31 00:25:01+00:00,0.14186836675526623
12,-90,0,2006-08-31 00:25:01+00:00,0.22237221368632965
13,-90,5,2006-08-31 00:25:01+00:00,0.1563365411764555
14,-90,10,2006-08-31 00:25:01+00:00,0.15459574887063354
15,-90,15,2006-08-31 00:25:01+00:00,0.6028024955735644
16,-90,20,2006-08-31 00:25:01+00:00,0.45508514451129095
17,-90,25,2006-08-31 00:25:01+00:00,0.06182650577909542
18,-90,30,2006-08-31 00:25:01+00:00,0.7284864962574036
19,-90,35,2006-08-31 00:25:01+00:00,
20,-85,-10,2006-08-31 00:25:01+00:00,0.1357570491444606
21,-85,-5,2006-08-31 00:25:01+00:00,0.22294618841260672
22,-85,0,2006-08-31 00:25:01+00:00,0.28594189195384767
23,-85,5,2006-08-31 00:25:01+00:00,0.12940155076129095
24,-85,10,2006-08-31 00:25:01+00:00,
25,-85,15,2006-08-31 00:25:01+00:00,
26,-85,20,2006-08-31 00:25:01+00:00,0.048975763260386884
27,-85,25,2006-08-31 00:25:01+00:00,0.09717903219045866
28,-85,30,2006-08-31 00:25:01+00:00,0.2658758374374898
29,-85,35,2006-08-31 00:25:01+00:00,1.7226110526493617
30,-80,-10,2006-08-31 00:25:01+00:00,
31,-80,-5,2006-08-31 00:25:01+00:00,
32,-80,0,2006-08-31 00:25:01+00:00,0.1451375812292099
33,-80,5,2006-08-31 00:25:01+00:00,0.17694411168103408
34,-80,10,2006-08-31 00:25:01+00:00,0.2751205761662938
35,-80,15,2006-08-31 00:25:01+00:00,0.4001364045744312
36,-80,20,2006-08-31 00:25:01+00:00,0.27111170063061374
37,-80,25,2006-08-31 00:25:01+00:00,0.3394311375420871
38,-80,30,2006-08-31 00:25:01+00:00,0.7205826504385635
39,-80,35,2006-08-31 00:25:01+00:00,
40,-75,-10,2006-08-31 00:25:01+00:00,15.029064178466797
41,-75,-5,2006-08-31 00:25:01+00:00,
42,-75,0,2006-08-31 00:25:01+00:00,
43,-75,5,2006-08-31 00:25:01+00:00,0.17592065036296844
44,-75,10,2006-08-31 00:25:01+00:00,
45,-75,15,2006-08-31 00:25:01+00:00,0.09813964163715189
46,-75,20,2006-08-31 00:25:01+00:00,0.09112667428368705
47,-75,25,2006-08-31 00:25:01+00:00,0.8296609400614529
48,-75,30,2006-08-31 00:25:01+00:00,0.08267806417365091
49,-75,35,2006-08-31 00:25:01+00:00,0.02998738083988428
50,-70,-10,2006-08-31 00:25:01+00:00,1.09682297706604
51,-70,-5,2006-08-31 00:25:01+00:00,
52,-70,0,2006-08-31 00:25:01+00:00,
53,-70,5,2006-08-31 00:25:01+00:00,
54,-70,10,2006-08-31 00:25:01+00:00,
55,-70,15,2006-08-31 00:25:01+00:00,0.23218303967013204
56,-70,20,2006-08-31 00:25:01+00:00,0.13099936912719912
57,-70,25,2006-08-31 00:25:01+00:00,0.04480582701309903
58,-70,30,2006-08-31 00:25:01+00:00,0.028473251634359775
59,-70,35,2006-08-31 00:25:01+00:00,0.038981828123532555
60,-65,-10,2006-08-31 00:25:01+00:00,
61,-65,-5,2006-08-31 00:25:01+00:00,
62,-65,0,2006-08-31 00:25:01+00:00,
63,-65,5,2006-08-31 00:25:01+00:00,
64,-65,10,2006-08-31 00:25:01+00:00,
65,-65,15,2006-08-31 00:25:01+00:00,0.42325663438629246
66,-65,20,2006-08-31 00:25:01+00:00,0.19776325402127132
67,-65,25,2006-08-31 00:25:01+00:00,0.0383334978141909
68,-65,30,2006-08-31 00:25:01+00:00,0.023744681193007648
69,-65,35,2006-08-31 00:25:01+00:00,0.031104425453425694
70,-60,-10,2006-08-31 00:25:01+00:00,
71,-60,-5,2006-08-31 00:25:01+00:00,
72,-60,0,2006-08-31 00:25:01+00:00,
73,-60,5,2006-08-31 00:25:01+00:00,
74,-60,10,2006-08-31 00:25:01+00:00,
75,-60,15,2006-08-31 00:25:01+00:00,0.13782028387177667
76,-60,20,2006-08-31 00:25:01+00:00,0.10958412736791873
77,-60,25,2006-08-31 00:25:01+00:00,0.03010545204250042
78,-60,30,2006-08-31 00:25:01+00:00,0.02060961599921618
79,-60,35,2006-08-31 00:25:01+00:00,0.02755683348619464
80,-55,-10,2006-08-31 00:25:01+00:00,
81,-55,-5,2006-08-31 00:25:01+00:00,
82,-55,0,2006-08-31 00:25:01+00:00,47.35151145037483
83,-55,5,2006-08-31 00:25:01+00:00,49.817074584960935
84,-55,10,2006-08-31 00:25:01+00:00,0.9084902173070156
85,-55,15,2006-08-31 00:25:01+00:00,0.16659775200394825
86,-55,20,2006-08-31 00:25:01+00:00,0.10038581013347474
87,-55,25,2006-08-31 00:25:01+00:00,0.04323655685061604
88,-55,30,2006-08-31 00:25:01+00:00,0.02147374245927246
89,-55,35,2006-08-31 00:25:01+00:00,0.04472389115654396
90,-50,-10,2006-08-31 00:25:01+00:00,
91,-50,-5,2006-08-31 00:25:01+00:00,
92,-50,0,2006-08-31 00:25:01+00:00,37.73363494873047
93,-50,5,2006-08-31 00:25:01+00:00,
94,-50,10,2006-08-31 00:25:01+00:00,0.7498983055110869
95,-50,15,2006-08-31 00:25:01+00:00,0.08575415627272634
96,-50,20,2006-08-31 00:25:01+00:00,0.032659905681083366
97,-50,25,2006-08-31 00:25:01+00:00,0.04040942085942007
98,-50,30,2006-08-31 00:25:01+00:00,0.0277011609404527
99,-50,35,2006-08-31 00:25:01+00:00,0.03973423630512204
100,-45,-10,2006-08-31 00:25:01+00:00,12.50997543334961
101,-45,-5,2006-08-31 00:25:01+00:00,
102,-45,0,2006-08-31 00:25:01+00:00,2.250109325885597
103,-45,5,2006-08-31 00:25:01+00:00,0.36896989800540175
104,-45,10,2006-08-31 00:25:01+00:00,0.40818219437081066
105,-45,15,2006-08-31 00:25:01+00:00,0.05368968275216034
106,-45,20,2006-08-31 00:25:01+00:00,0.031219980332011343
107,-45,25,2006-08-31 00:25:01+00:00,0.03476528739865965
108,-45,30,2006-08-31 00:25:01+00:00,0.03237043281663971
109,-45,35,2006-08-31 00:25:01+00:00,0.044152155048518535
110,-40,-10,2006-08-31 00:25:01+00:00,
111,-40,-5,2006-08-31 00:25:01+00:00,6.597135571872487
112,-40,0,2006-08-31 00:25:01+00:00,0.44395155757501525
113,-40,5,2006-08-31 00:25:01+00:00,0.12163251636033619
114,-40,10,2006-08-31 00:25:01+00:00,0.08395844663945472
115,-40,15,2006-08-31 00:25:01+00:00,0.051143131011275
116,-40,20,2006-08-31 00:25:01+00:00,0.03187897297015577
117,-40,25,2006-08-31 00:25:01+00:00,0.02826339089012933
118,-40,30,2006-08-31 00:25:01+00:00,0.026390510725138858
119,-40,35,2006-08-31 00:25:01+00:00,0.04411421056840521
120,-35,-10,2006-08-31 00:25:01+00:00,0.04877957159100234
121,-35,-5,2006-08-31 00:25:01+00:00,
122,-35,0,2006-08-31 00:25:01+00:00,0.2078509895806819
123,-35,5,2006-08-31 00:25:01+00:00,0.16812205467468652
124,-35,10,2006-08-31 00:25:01+00:00,
125,-35,15,2006-08-31 00:25:01+00:00,0.07704173773527145
126,-35,20,2006-08-31 00:25:01+00:00,
127,-35,25,2006-08-31 00:25:01+00:00,0.03149845572480549
128,-35,30,2006-08-31 00:25:01+00:00,0.02786062372620906
129,-35,35,2006-08-31 00:25:01+00:00,0.05551488464944205
130,-30,-10,2006-08-31 00:25:01+00:00,0.04263174058869481
131,-30,-5,2006-08-31 00:25:01+00:00,0.07039933721574981
132,-30,0,2006-08-31 00:25:01+00:00,0.10675791890000089
133,-30,5,2006-08-31 00:25:01+00:00,0.1362976264456908
134,-30,10,2006-08-31 00:25:01+00:00,0.08490968325815233
135,-30,15,2006-08-31 00:25:01+00:00,0.08859184350179145
136,-30,20,2006-08-31 00:25:01+00:00,
137,-30,25,2006-08-31 00:25:01+00:00,
138,-30,30,2006-08-31 00:25:01+00:00,0.04854911006987095
139,-30,35,2006-08-31 00:25:01+00:00,0.05502711267236176
140,-25,-10,2006-08-31 00:25:01+00:00,0.04044349096533359
141,-25,-5,2006-08-31 00:25:01+00:00,0.07532765912177988
142,-25,0,2006-08-31 00:25:01+00:00,0.11859275422375687
143,-25,5,2006-08-31 00:25:01+00:00,0.40381355583667755
144,-25,10,2006-08-31 00:25:01+00:00,
145,-25,15,2006-08-31 00:25:01+00:00,0.12661099252808425
146,-25,20,2006-08-31 00:25:01+00:00,
147,-25,25,2006-08-31 00:25:01+00:00,
148,-25,30,2006-08-31 00:25:01+00:00,0.03302221048687862
149,-25,35,2006-08-31 00:25:01+00:00,0.052636999050895784
150,-20,-10,2006-08-31 00:25:01+00:00,0.054437258516053855
151,-20,-5,2006-08-31 00:25:01+00:00,0.11130349611707589
152,-20,0,2006-08-31 00:25:01+00:00,0.2595821804566139
153,-20,5,2006-08-31 00:25:01+00:00,0.20754876859210156
154,-20,10,2006-08-31 00:25:01+00:00,0.10822743879190619
155,-20,15,2006-08-31 00:25:01+00:00,0.11698300078386019
156,-20,20,2006-08-31 00:25:01+00:00,
157,-20,25,2006-08-31 00:25:01+00:00,
158,-20,30,2006-08-31 00:25:01+00:00,0.04419739054786768
159,-20,35,2006-08-31 00:25:01+00:00,0.05106508256166532
160,-15,-10,2006-08-31 00:25:01+00:00,0.08485715802561108
161,-15,-5,2006-08-31 00:25:01+00:00,0.15269951717385566
162,-15,0,2006-08-31 00:25:01+00:00,0.2901634980712254
163,-15,5,2006-08-31 00:25:01+00:00,0.211609643592554
164,-15,10,2006-08-31 00:25:01+00:00,0.1348549872636795
165,-15,15,2006-08-31 00:25:01+00:00,0.303181908586446
166,-15,20,2006-08-31 00:25:01+00:00,
167,-15,25,2006-08-31 00:25:01+00:00,
168,-15,30,2006-08-31 00:25:01+00:00,0.1101754754781723
169,-15,35,2006-08-31 00:25:01+00:00,
170,-10,-10,2006-08-31 00:25:01+00:00,0.1402478189113827
171,-10,-5,2006-08-31 00:25:01+00:00,0.1934965310883133
172,-10,0,2006-08-31 00:25:01+00:00,0.3837318861123287
173,-10,5,2006-08-31 00:25:01+00:00,
174,-10,10,2006-08-31 00:25:01+00:00,
175,-10,15,2006-08-31 00:25:01+00:00,
176,-10,20,2006-08-31 00:25:01+00:00,
177,-10,25,2006-08-31 00:25:01+00:00,
178,-10,30,2006-08-31 00:25:01+00:00,
179,-10,35,2006-08-31 00:25:01+00:00,
180,-5,-10,2006-08-31 00:25:01+00:00,
181,-5,-5,2006-08-31 00:25:01+00:00,0.35606876274813776
182,-5,0,2006-08-31 00:25:01+00:00,0.43067122905033706
183,-5,5,2006-08-31 00:25:01+00:00,
184,-5,10,2006-08-31 00:25:01+00:00,
185,-5,15,2006-08-31 00:25:01+00:00,
186,-5,20,2006-08-31 00:25:01+00:00,
187,-5,25,2006-08-31 00:25:01+00:00,
188,-5,30,2006-08-31 00:25:01+00:00,
189,-5,35,2006-08-31 00:25:01+00:00,
190,0,-10,2006-08-31 00:25:01+00:00,0.14412077595578862
191,0,-5,2006-08-31 00:25:01+00:00,0.2238961969103132
192,0,0,2006-08-31 00:25:01+00:00,0.48324827969947576
193,0,5,2006-08-31 00:25:01+00:00,
194,0,10,2006-08-31 00:25:01+00:00,
195,0,15,2006-08-31 00:25:01+00:00,
196,0,20,2006-08-31 00:25:01+00:00,
197,0,25,2006-08-31 00:25:01+00:00,
198,0,30,2006-08-31 00:25:01+00:00,
199,0,35,2006-08-31 00:25:01+00:00,
